Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2024-12-21,3252 ,דצמ׳ 2024,2024-12-17
La Plagne 2100,2024-12-22,3659 ,דצמ׳ 2024,2024-12-17
La Plagne 2100,2025-01-05,2431 ,דצמ׳ 2024,2024-12-17
La Plagne 2100,2025-01-12,2671 ,דצמ׳ 2024,2024-12-17
La Plagne 2100,2025-01-19,3497 ,דצמ׳ 2024,2024-12-17
La Plagne 2100,2025-01-26,3278 ,דצמ׳ 2024,2024-12-17
La Plagne 2100,2025-01-05,2431 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-01-12,2671 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-02-02,2535 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-02-09,2978 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-02-16,3798 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-02-23,3088 ,ינו׳ 2025,2024-12-17
La Plagne 2100,2025-02-02,2535 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-02-09,2978 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-02-16,3798 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-02-23,3088 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-03-02,3009 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-03-09,2916 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2024-12-17
La Plagne 2100,2025-03-02,3009 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-03-09,2916 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-07,2376 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-08,2365 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-09,2426 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-10,2653 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-11,2721 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-12,2408 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-13,2790 ,מרץ 2025,2024-12-17
La Plagne 2100,2025-04-06,2677 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-07,2376 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-08,2365 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-09,2426 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-10,2653 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-11,2721 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-12,2408 ,אפר׳ 2025,2024-12-17
La Plagne 2100,2025-04-13,2790 ,אפר׳ 2025,2024-12-17
Val Thorens,2025-01-05,5914 ,דצמ׳ 2024,2024-12-17
Val Thorens,2025-01-12,6154 ,דצמ׳ 2024,2024-12-17
Val Thorens,2025-01-19,4072 ,דצמ׳ 2024,2024-12-17
Val Thorens,2025-01-26,4392 ,דצמ׳ 2024,2024-12-17
Val Thorens,2025-01-05,5914 ,ינו׳ 2025,2024-12-17
Val Thorens,2025-01-12,6154 ,ינו׳ 2025,2024-12-17
Val Thorens,2025-01-19,4072 ,ינו׳ 2025,2024-12-17
